Date,Tmax_F,Tmean_F,Tmin_F,Precip_in,Snowfall_in,SnowDepth_in,CoolingDD_65F,HeatingDD_65F,GrowingDD_50F
1/1/1990,21,17.5,14,0.33,4.5,12,0,47,0
1/2/1990,26,22.5,19,0.27,3.5,9,0,42,0
1/3/1990,28,24.5,21,0.47,4,16,0,40,0
1/4/1990,32,28,24,0.57,7,23,0,37,0
1/5/1990,33,31,29,0.41,7.5,26,0,34,0
1/6/1990,33,30.5,28,0,0,25,0,34,0
1/7/1990,33,32,31,0.09,0,23,0,33,0
1/8/1990,34,28.5,23,0.16,2,23,0,36,0
1/9/1990,30,26,22,0.19,4,28,0,39,0
1/10/1990,35,29.5,24,0.11,2.5,25,0,35,0
1/11/1990,36,32,28,0,0,24,0,33,0
1/12/1990,33,30.5,28,0.04,1,24,0,34,0
1/13/1990,35,33,31,0.05,1,24,0,32,0
1/14/1990,35,32.5,30,0.81,3,27,0,32,0
1/15/1990,35,32.5,30,0.18,2.5,26,0,32,0
1/16/1990,34,32.5,31,0.03,1,25,0,32,0
1/17/1990,33,31.5,30,0.16,1,24,0,33,0
1/18/1990,37,34,31,0.26,0,23,0,31,0
1/19/1990,36,34,32,0.42,0,22,0,31,0
1/20/1990,37,34.5,32,0.73,0,21,0,30,0
1/21/1990,37,34,31,0.22,0,19,0,31,0
1/22/1990,35,32.5,30,0.31,3.5,21,0,32,0
1/23/1990,34,28,22,0.09,1,21,0,37,0
1/24/1990,30,26.5,23,0.02,0.5,22,0,38,0
1/25/1990,31,26.5,22,0.03,1,23,0,38,0
1/26/1990,30,24,18,0.04,1,24,0,41,0
1/27/1990,31,25,19,0.03,1,24,0,40,0
1/28/1990,28,21.5,15,0.02,1,24,0,43,0
1/29/1990,20,12,4,0,0,24,0,53,0
1/30/1990,11,5.5,0,0,0,24,0,59,0
1/31/1990,16,9.5,3,0,0,23,0,55,0
2/1/1990,19,12,5,0.26,4.5,28,0,53,0
2/2/1990,28,22,16,0.24,4,28,0,43,0
2/3/1990,30,24.5,19,0.17,2.5,29,0,40,0
2/4/1990,33,29.5,26,0.14,2.4,31,0,35,0
2/5/1990,32,29,26,1.72,6,35,0,36,0
2/6/1990,30,25,20,0.29,2.5,36,0,40,0
2/7/1990,23,18,13,0.37,5,39,0,47,0
2/8/1990,23,19,15,0.47,7.5,42,0,46,0
2/9/1990,30,24.5,19,0.51,7,45,0,40,0
2/10/1990,28,20,12,0,0,45,0,45,0
2/11/1990,25,16.5,8,0,0,45,0,48,0
2/12/1990,23,13,3,0,0,45,0,52,0
2/13/1990,22,15.5,9,0.07,1.5,43,0,49,0
2/14/1990,31,25.5,20,0.56,7,48,0,39,0
2/15/1990,29,21,13,0,0,47,0,44,0
2/16/1990,21,12.5,4,0,0,44,0,52,0
2/17/1990,30,M,M,0.36,3,44,M,M,M
2/18/1990,35,26.5,18,0.26,4.5,48,0,38,0
2/19/1990,33,29.5,26,0.42,7,60,0,35,0
2/20/1990,37,33,29,0.37,3.5,54,0,32,0
2/21/1990,38,34.5,31,1.39,4.5,51,0,30,0
2/22/1990,38,34,30,0.07,0,44,0,31,0
2/23/1990,38,34.5,31,1.29,0.5,41,0,30,0
2/24/1990,38,35,32,0.17,0,41,0,30,0
